temperature,humidity,ph,rainfall,N,P,K
28.61,86.99,7.16,36.95,10,59,22
29.25,84.8,6.99,53.43,14,48,21
28.63,89.11,6.22,50.5,8,50,21
29.57,88.08,7.2,45.04,20,40,15
27.83,87.17,6.39,58.37,36,43,22
29.88,83.15,6.62,40.12,14,57,15
27.34,88.5,7.03,51.1,11,60,23
29.83,89.3,6.32,58.87,10,59,15
28.28,82.76,6.4,56.05,7,60,25
29.87,85.99,6.4,58.41,2,47,15
29.59,89.99,6.9,54.96,20,45,22
28.07,82.91,6.48,49.62,2,39,15
27.84,90.0,7.06,52.85,27,40,24
27.11,87.45,6.98,55.04,35,48,15
27.69,81.94,6.23,54.62,4,59,25
29.35,85.6,6.23,59.04,1,48,24
28.36,84.86,7.14,52.93,36,43,21
27.65,89.81,6.46,56.53,11,46,24
27.31,85.45,6.57,53.15,34,47,19
27.07,86.9,7.13,50.47,21,44,18
28.07,85.92,6.43,39.24,17,58,20
27.73,81.14,6.25,44.18,25,40,21
27.54,89.93,6.62,45.49,2,38,18
29.66,84.28,6.38,56.1,9,48,20
29.91,85.85,6.42,41.39,37,49,25
28.36,87.6,6.32,58.0,36,38,15
29.46,87.61,6.98,43.15,40,58,15
29.73,82.89,6.44,50.92,30,44,16
27.47,87.18,7.18,43.78,1,59,23
27.77,87.1,6.4,49.51,9,48,22
29.13,88.48,7.09,36.45,14,41,17
27.11,89.9,6.7,37.46,35,52,19
28.88,86.94,6.59,53.8,31,48,17
28.15,83.8,6.65,37.45,4,41,20
29.89,80.14,7.12,54.8,30,37,25
27.42,80.98,6.91,40.53,9,35,20
29.27,89.49,7.07,50.92,20,41,20
29.65,88.49,6.53,56.02,37,50,23
28.45,82.68,6.68,58.19,34,35,21
27.96,83.98,6.58,48.94,14,37,15
29.26,81.98,6.86,42.02,23,39,22
28.36,88.01,6.49,43.05,5,45,21
27.63,86.49,6.61,39.26,22,37,20
28.66,86.12,6.86,50.02,40,51,17
29.21,87.11,6.42,51.54,27,56,20
29.41,86.16,6.37,53.35,31,40,22
28.03,84.88,6.56,36.12,38,36,21
28.09,80.35,6.76,38.14,6,37,17
29.16,80.28,6.72,40.17,6,47,18
29.86,80.03,6.67,50.66,24,44,17
29.07,83.69,6.63,43.95,25,59,19
27.39,88.67,6.7,58.3,32,56,21
27.93,85.42,7.01,43.25,8,45,18
29.28,81.8,6.89,44.47,19,39,17
29.0,83.79,6.82,59.84,39,37,15
27.93,86.55,7.18,43.48,33,37,19
28.55,88.96,6.27,49.49,26,54,17
29.36,89.19,6.68,48.3,21,51,15
28.56,83.64,6.69,41.01,22,54,20
28.44,87.91,6.58,43.12,29,45,16
28.8,80.46,6.73,44.3,4,40,21
28.73,89.13,7.07,58.53,10,37,22
27.96,83.53,6.92,43.26,4,44,19
28.17,83.7,6.77,37.25,20,45,17
28.78,86.69,6.98,56.12,23,45,23
28.44,83.49,6.27,52.55,25,48,21
29.48,63.2,7.45,71.89,56,79,15
26.73,68.14,7.04,67.15,25,62,21
26.27,62.29,7.42,70.23,42,61,22
34.04,67.21,6.5,73.24,42,73,25
28.04,65.07,6.81,72.5,44,58,18
28.81,65.34,7.58,62.26,50,55,16
34.04,64.29,7.74,66.86,35,72,21
33.86,61.57,6.57,68.02,30,64,20
32.84,68.68,7.54,73.67,27,64,21
27.1,63.36,6.54,73.85,50,74,17
25.66,61.18,7.22,69.29,39,73,24
32.35,66.61,7.55,64.56,57,67,25
29.59,68.32,6.93,67.53,52,63,19
30.91,68.79,7.75,66.64,55,66,22
28.13,64.21,6.71,70.86,51,56,18
30.09,69.35,6.67,67.14,36,66,15
31.74,62.51,7.33,68.97,59,55,19
27.81,62.5,7.6,69.76,50,58,23
32.89,64.59,7.71,71.51,30,65,25
29.36,64.99,7.37,61.91,20,62,18
27.83,67.59,6.92,74.01,58,71,15
28.5,60.45,7.19,74.92,25,71,24
27.74,68.54,7.08,71.79,52,71,16
30.42,67.66,6.74,63.02,40,63,18
27.33,69.09,6.73,61.19,20,60,25
30.28,61.69,6.63,65.63,48,61,21
28.57,61.53,7.13,63.5,49,68,22
25.37,66.64,7.54,65.82,48,62,15
34.95,65.27,7.16,70.14,32,66,17
25.1,67.73,6.86,74.62,21,63,22
32.48,64.35,7.4,65.82,20,72,19
33.86,68.59,6.88,69.24,25,65,21
25.2,60.37,6.58,70.89,41,78,21
31.78,69.02,7.3,61.47,53,67,17
34.9,63.6,6.97,64.73,39,60,21
31.74,68.64,7.24,62.31,25,76,17
27.16,66.76,6.92,69.85,21,78,19
26.24,67.89,7.5,73.59,57,60,17
30.2,60.07,7.15,66.37,56,75,15
31.56,67.84,7.14,74.87,49,72,15
29.68,69.09,6.81,65.66,24,80,19
27.05,67.7,7.39,60.47,49,76,18
34.64,61.39,7.7,72.43,28,68,19
33.39,62.94,6.6,63.57,55,78,21
28.84,63.37,6.73,70.25,50,64,25
31.49,63.06,6.52,71.48,34,80,19
25.55,63.95,7.71,63.18,20,68,23
34.37,69.69,6.6,70.27,55,67,16
34.6,63.11,7.4,60.42,23,70,15
29.43,64.94,7.52,72.18,53,74,15
29.11,67.91,7.18,67.83,26,67,16
28.57,65.72,6.59,70.09,33,80,22
27.54,69.35,7.14,69.41,37,79,19
33.05,68.94,6.69,62.3,33,75,21
33.95,69.96,7.42,61.16,22,55,20
30.12,60.12,6.58,71.73,20,68,17
29.58,66.18,7.5,69.44,43,68,20
27.26,68.01,7.78,68.92,44,76,22
31.36,64.25,7.32,63.86,34,60,16
31.52,66.56,7.58,61.71,21,72,17
29.4,64.26,7.11,67.48,25,68,19
29.38,64.15,7.36,65.24,41,62,15
28.39,61.89,7.41,74.24,28,65,23
28.47,63.54,6.5,69.53,35,64,15
30.64,61.15,7.17,71.37,52,58,16
25.26,61.37,7.26,68.65,58,75,25
32.97,60.18,7.59,73.45,34,66,19
33.67,66.6,7.53,67.33,52,70,16
32.84,68.0,7.25,73.4,23,57,19
27.46,62.9,6.51,69.46,42,58,25
25.69,69.84,7.12,74.62,37,62,17
30.03,64.15,7.57,71.21,44,75,22
28.21,68.27,7.35,64.33,21,80,20
28.27,61.19,7.51,63.3,56,76,16
28.54,64.2,7.03,69.69,29,76,15
26.87,61.61,6.8,63.52,43,61,20
32.8,68.78,7.16,64.11,55,60,15
26.42,64.51,7.34,63.47,44,63,15
29.79,63.39,6.62,63.02,29,67,21
27.44,67.1,6.66,72.51,47,63,16
34.13,65.15,7.73,70.41,40,68,17
30.95,64.23,7.4,62.79,58,61,15
28.76,61.03,6.6,73.38,41,74,18
27.25,66.1,7.04,62.32,58,79,17
28.63,66.77,7.35,62.27,27,62,24
26.42,63.65,7.03,64.42,27,60,17
32.82,66.16,6.81,68.84,52,65,20
29.63,65.91,7.42,71.16,44,55,25
33.49,62.73,6.85,65.45,21,62,24
31.87,66.74,7.19,74.22,60,59,22
30.33,65.63,7.01,71.65,33,77,21
28.55,66.31,7.37,62.83,59,58,17
30.03,67.89,7.26,66.47,29,63,17
31.66,60.13,6.53,66.69,59,63,18
30.33,63.55,6.87,74.17,29,70,15
33.37,65.68,6.87,64.9,58,73,16
31.43,62.99,7.76,64.78,55,77,22
27.72,63.29,6.78,68.57,42,79,23
32.64,61.3,7.33,61.84,44,77,21
32.75,67.78,7.45,63.38,38,62,25
28.05,63.5,7.6,43.36,32,76,15
19.44,63.28,7.73,46.83,13,61,22
29.85,60.64,7.49,46.8,38,60,20
21.36,69.92,6.63,46.64,11,74,17
26.29,68.52,7.32,46.14,37,71,16
22.17,62.14,6.41,53.47,29,71,18
26.58,60.98,7.84,50.89,2,72,18
26.59,66.14,6.14,50.91,6,59,21
19.13,62.58,6.59,36.47,13,64,20
28.75,69.16,7.29,35.15,8,58,17
25.79,60.28,6.06,49.14,6,77,20
23.89,61.79,6.66,52.56,2,75,22
28.67,63.19,7.3,42.96,3,69,23
28.42,61.77,7.82,49.02,27,80,24
21.35,62.6,5.93,41.78,39,78,15
21.13,63.19,6.4,38.72,40,79,17
24.02,61.62,7.4,49.78,37,62,22
25.4,65.86,7.72,51.92,31,60,24
29.03,64.49,7.48,54.94,22,67,22
20.21,68.65,6.89,50.9,3,78,18
29.2,68.02,7.44,44.93,4,80,16
18.3,69.69,7.63,49.39,13,61,24
27.41,63.42,7.34,44.43,12,66,20
24.84,60.09,6.75,48.78,4,61,21
29.94,67.31,7.52,40.37,9,60,21
25.88,67.55,6.35,47.9,18,66,22
20.05,65.84,7.14,46.05,32,56,18
22.99,66.71,7.67,54.49,6,72,15
25.13,66.93,7.4,49.04,15,77,20
28.5,62.45,7.84,53.15,0,65,24
18.29,69.49,6.25,48.6,30,79,22
24.38,61.18,6.87,53.14,3,63,16
21.32,66.44,7.32,45.43,2,78,23
18.54,62.71,6.3,44.08,10,78,18
25.29,60.86,7.24,49.37,14,67,25
25.43,69.13,7.69,41.03,39,65,23
28.84,69.76,6.89,44.09,19,72,15
27.38,63.94,6.16,49.47,18,57,21
28.32,60.19,6.17,45.37,31,58,15
27.48,62.05,6.86,37.81,28,58,25
18.28,68.1,6.98,48.8,5,65,19
27.61,69.3,7.04,42.72,16,65,19
23.44,63.22,5.94,45.4,34,65,19
20.96,63.68,7.24,52.4,14,69,19
23.79,68.03,6.52,49.74,22,55,16
22.64,65.45,6.23,38.3,24,61,17
21.54,65.47,7.51,35.75,2,79,15
29.88,65.73,6.95,44.96,26,63,17
25.27,67.1,6.96,48.34,27,61,15
25.18,68.93,6.55,35.03,24,70,16
24.12,61.1,6.46,44.24,13,74,25
23.34,67.4,7.07,36.19,6,64,23
21.75,63.4,6.77,50.43,12,58,23
27.6,63.46,5.92,54.38,32,79,22
24.39,62.5,6.71,47.26,6,68,18
24.98,66.9,6.38,38.21,10,79,20
28.23,69.32,6.31,35.37,38,77,22
26.03,69.56,7.39,37.11,17,74,17
28.05,64.08,7.5,37.16,26,68,24
24.87,64.0,7.2,48.28,23,75,17
23.97,62.36,7.01,53.41,32,78,22
20.06,67.76,6.68,42.9,19,79,19
19.59,61.29,6.74,41.77,22,60,18
29.77,66.29,6.55,35.7,28,69,16
27.52,60.54,6.55,48.06,1,67,21
25.63,63.15,6.59,45.5,12,67,23
20.39,60.48,6.92,53.32,36,67,20
25.39,60.5,7.44,39.18,28,70,21
24.91,60.71,7.14,42.2,12,71,19
27.7,63.21,7.75,37.46,22,68,16
18.06,65.1,6.3,51.55,26,66,22
18.13,62.46,6.08,50.61,16,65,16
23.83,67.9,6.77,46.91,14,59,22
23.19,62.75,7.64,49.55,33,59,19
25.09,68.18,6.56,41.45,21,63,17
25.87,61.88,7.07,36.68,0,69,21
18.44,68.05,7.73,39.01,10,75,17
27.15,67.03,6.16,52.51,30,61,18
23.33,64.51,7.24,47.02,0,74,17
26.72,62.97,6.9,42.87,35,74,22
19.56,64.45,6.82,53.05,7,63,24
26.14,66.77,6.26,46.48,9,56,17
28.0,65.58,6.49,49.94,14,74,15
29.06,62.11,7.04,36.5,14,76,20
25.71,64.11,7.69,50.17,36,65,16
21.8,63.73,6.25,46.62,28,67,21
24.71,60.27,6.05,53.12,28,79,16
20.95,65.81,7.0,44.24,40,61,22
24.85,68.98,7.27,41.61,10,70,19
21.91,65.22,5.96,36.1,12,80,19
25.93,68.71,7.08,51.02,37,77,20
29.82,69.41,6.59,51.56,0,67,22
27.52,63.13,7.29,45.21,7,73,25
28.0,68.64,7.33,46.11,10,56,18
20.77,63.9,6.37,47.93,39,70,15
23.05,60.42,7.01,52.6,26,56,22
21.66,63.58,6.28,38.08,9,77,17
26.25,67.63,7.62,40.81,4,59,19
20.97,63.83,7.63,53.1,34,73,15
23.9,66.32,7.8,40.75,33,77,15
24.56,91.64,5.92,111.97,2,24,38
19.66,89.94,5.94,108.05,6,18,37
18.78,87.4,6.8,102.52,8,26,36
24.15,94.51,6.42,110.23,37,18,39
22.45,89.9,6.74,109.39,0,27,38
24.96,92.41,6.5,109.42,31,25,38
22.55,89.33,6.33,104.9,21,21,38
22.77,91.45,6.36,106.97,6,30,40
19.2,94.28,6.92,108.04,25,27,41
23.13,92.68,6.63,109.39,15,11,38
24.93,85.19,5.83,104.77,14,5,36
24.77,85.64,6.74,105.76,16,10,41
19.87,86.36,5.78,108.32,36,7,37
24.27,93.8,6.54,104.54,4,20,41
23.63,89.73,6.15,107.68,29,22,40
19.68,89.09,6.89,108.55,16,15,42
22.37,92.31,7.18,104.82,18,27,41
21.58,94.88,5.94,102.86,11,18,42
18.26,88.17,5.71,108.08,5,15,38
23.71,89.62,6.18,105.65,18,23,44
22.49,89.92,6.55,111.66,9,8,40
21.66,94.79,5.89,112.43,40,27,45
20.13,89.32,6.14,107.34,22,23,44
18.41,91.12,6.1,105.18,9,16,39
19.68,89.75,6.59,111.28,12,29,40
23.2,91.19,6.86,109.09,0,17,42
18.92,87.31,6.57,102.8,2,21,44
22.11,91.34,6.77,106.87,28,6,40
18.47,89.69,7.13,108.48,8,23,44
19.81,88.93,5.74,102.86,29,16,36
24.49,90.84,5.84,103.2,17,18,43
18.76,89.93,6.65,111.02,34,21,42
19.54,90.3,6.9,104.37,21,23,42
18.91,87.75,6.61,111.28,25,17,40
19.91,94.95,6.83,104.03,8,25,36
19.73,89.65,6.91,108.23,26,18,42
23.83,87.84,6.31,111.22,4,19,42
24.94,94.26,7.01,103.88,36,24,41
24.69,93.87,6.3,104.67,5,24,40
24.72,85.56,6.73,111.28,19,17,39
20.13,87.6,6.97,108.07,39,30,38
21.02,93.06,5.58,104.78,5,29,44
22.4,88.15,7.2,109.87,4,24,43
20.34,89.38,5.84,110.97,38,21,35
24.25,85.56,6.71,106.92,37,11,36
24.82,91.91,5.97,109.29,9,25,41
19.66,87.95,5.56,106.04,29,22,43
22.43,90.34,6.11,112.46,5,21,38
22.92,85.13,6.99,110.24,22,26,38
22.92,85.41,7.13,106.28,4,18,37
24.88,89.4,7.09,107.2,21,6,41
23.41,93.13,6.75,105.22,29,21,45
21.21,94.26,7.16,107.57,23,5,44
18.2,91.12,7.01,109.66,13,7,43
22.34,89.79,5.65,103.32,5,13,37
24.33,90.88,6.61,110.46,27,24,41
19.75,88.72,7.05,102.55,7,23,35
19.86,86.2,6.03,111.02,12,20,39
18.07,93.15,5.78,106.36,4,19,43
23.89,89.62,6.54,104.62,3,9,45
23.99,93.34,5.68,104.99,1,27,36
20.94,85.43,6.12,103.03,23,30,44
20.82,87.23,7.0,109.44,24,21,42
20.86,91.62,6.28,106.87,13,30,37
24.46,86.11,6.32,111.38,40,11,44
24.51,90.64,5.96,105.62,21,9,40
24.57,92.03,6.59,110.96,3,27,44
24.63,89.02,7.1,110.7,40,29,42
20.07,90.98,6.41,103.71,14,25,40
21.81,94.64,6.66,102.65,38,14,37
22.81,86.34,6.28,110.44,34,9,36
22.73,88.49,6.83,104.68,32,14,37
23.28,94.94,6.37,111.14,18,21,35
19.3,87.18,7.01,105.48,8,23,38
19.01,88.84,6.9,108.68,15,6,41
24.35,90.89,6.15,105.53,0,5,36
24.72,88.88,5.74,112.19,22,9,44
21.93,94.46,7.05,111.72,14,8,43
24.84,86.89,6.03,107.64,31,11,45
18.1,90.42,6.92,104.88,39,17,45
20.24,91.09,6.89,109.25,10,5,42
23.23,94.43,6.84,105.69,8,28,38
23.5,92.98,5.79,106.62,32,13,42
19.45,89.02,5.63,106.16,18,9,40
20.51,92.52,5.7,110.58,20,27,41
18.9,95.0,5.57,107.61,39,25,36
18.91,89.24,6.08,112.48,20,7,45
22.63,88.46,6.4,109.04,11,10,45
19.39,86.79,5.77,109.91,40,18,43
24.38,91.19,7.08,103.6,3,26,39
23.78,92.93,5.89,106.98,9,16,36
22.6,93.16,7.06,110.09,30,20,38
24.38,85.4,5.78,106.13,40,9,41
20.89,91.08,6.27,104.44,40,30,35
18.1,85.71,5.89,107.01,32,25,35
20.0,85.84,7.12,112.34,33,23,45
19.85,89.81,6.43,102.82,4,14,41
21.25,92.65,7.16,106.28,13,17,45
23.65,93.33,6.43,109.81,39,24,39
23.88,86.21,6.08,108.31,8,28,37
29.37,76.25,6.15,92.83,91,94,46
27.33,83.68,5.85,101.05,105,95,50
27.4,82.96,6.28,104.94,108,92,53
29.32,80.12,5.93,90.11,86,76,54
26.05,79.4,5.52,113.23,80,77,49
25.87,84.42,6.08,114.54,93,94,53
27.01,80.19,6.13,97.33,90,92,55
29.55,78.07,5.81,99.34,108,89,53
26.29,83.39,5.89,113.87,108,88,55
29.16,76.16,5.82,100.01,105,77,52
28.65,82.69,5.84,98.75,118,88,52
29.07,76.5,6.38,100.17,101,87,54
28.08,75.26,5.62,118.28,95,75,50
27.2,78.81,5.92,99.72,106,85,53
28.05,78.05,6.46,108.4,86,95,49
25.15,83.35,5.57,98.67,83,79,55
25.94,78.34,6.21,119.85,85,95,47
27.67,79.69,6.49,108.66,109,79,45
25.57,75.94,5.59,102.79,100,76,45
28.7,82.54,6.23,116.16,117,86,48
26.34,76.85,6.19,118.69,114,94,53
25.94,78.9,5.92,98.22,110,78,50
25.14,84.88,6.2,91.46,94,70,48
27.51,80.8,6.16,105.08,80,71,47
26.21,82.34,6.31,112.07,114,79,51
29.1,79.2,6.32,92.08,88,78,45
29.24,77.32,5.71,90.67,112,73,48
25.56,77.38,6.12,93.1,117,76,47
26.4,81.36,5.57,98.17,111,87,48
28.1,77.8,5.63,109.54,89,83,47
27.85,83.31,6.1,117.29,93,91,47
27.39,81.47,6.44,94.31,92,81,52
25.15,81.38,6.1,119.22,105,74,45
28.65,79.29,5.7,102.46,102,71,48
29.16,76.67,5.62,109.58,94,91,51
27.57,82.06,6.44,91.34,116,71,47
25.41,82.36,6.18,112.98,117,79,49
25.99,83.34,6.22,112.08,119,72,55
26.29,81.06,5.87,118.67,99,73,53
29.15,78.71,6.39,117.54,91,84,52
26.6,79.36,6.21,107.39,80,90,47
25.36,75.03,6.01,116.55,101,70,48
29.12,80.18,5.91,112.4,108,89,53
27.54,77.26,6.05,110.33,100,80,52
29.67,83.51,6.01,110.25,109,91,53
25.06,84.97,5.74,110.44,82,78,46
25.87,78.52,5.74,116.3,106,70,55
25.85,81.96,5.79,119.09,90,86,52
26.52,77.8,5.51,108.85,83,95,50
28.67,79.59,5.99,118.26,119,90,48
28.15,81.54,5.79,91.41,107,72,45
26.42,83.7,5.92,95.12,116,81,55
26.59,81.41,6.24,109.98,101,75,50
27.72,76.58,6.04,102.21,93,81,50
28.98,82.96,5.83,109.02,95,75,45
29.42,83.97,6.09,117.23,107,71,55
27.4,81.11,6.47,112.14,83,94,47
26.4,84.41,5.72,111.02,102,73,54
27.81,82.69,5.81,99.21,86,79,45
25.2,83.56,5.7,115.86,117,86,53
28.31,75.77,6.17,119.7,111,79,53
25.9,80.47,6.0,110.1,95,74,50
27.49,76.11,6.21,109.28,91,75,55
29.38,83.5,5.77,109.25,93,83,46
29.22,81.08,5.74,108.86,92,85,51
27.09,81.34,5.88,110.13,104,80,54
26.13,81.81,6.1,104.48,103,72,51
29.01,77.95,5.67,90.43,92,75,45
27.97,79.29,5.69,119.48,93,85,49
28.08,76.06,5.91,118.99,120,87,52
25.16,84.98,6.11,90.95,108,72,46
25.79,84.51,6.02,114.2,105,88,54
25.34,84.47,6.44,91.06,98,79,50
29.45,78.35,5.51,96.45,111,88,55
26.48,78.52,5.68,113.12,97,74,45
27.39,83.31,5.72,92.78,95,82,48
25.08,80.26,6.28,94.33,89,91,55
26.67,76.49,6.28,91.73,89,85,55
25.45,79.49,6.2,100.66,118,88,51
28.23,80.64,5.76,98.0,101,92,45
28.13,77.48,6.32,103.5,99,92,47
28.95,82.19,5.9,95.83,82,77,46
27.96,84.15,5.64,97.56,90,86,55
28.0,78.9,6.24,94.68,95,88,52
29.14,80.12,6.28,90.45,104,73,46
27.91,83.36,6.36,90.24,102,73,52
25.43,81.54,5.84,96.48,100,74,52
28.56,84.52,5.65,111.08,94,89,48
26.6,83.0,5.73,100.51,99,70,46
27.2,77.4,6.2,99.47,112,87,48
25.29,79.29,5.61,105.42,117,82,45
29.91,76.99,6.26,92.0,96,86,51
27.95,76.64,6.04,109.09,113,85,45
25.01,78.76,5.76,108.37,105,93,46
29.21,84.7,6.16,108.55,85,89,51
27.36,84.55,6.39,90.81,108,94,47
28.01,76.53,5.89,103.7,92,81,52
28.67,82.21,5.73,94.38,110,71,54
27.35,78.49,6.28,92.16,82,75,55
29.51,78.21,5.51,98.13,117,81,53
29.74,47.55,5.95,90.1,2,40,27
33.56,53.73,4.76,98.68,39,24,31
27.0,47.68,5.7,95.85,21,26,27
33.56,45.54,5.98,95.71,25,22,25
35.9,54.26,6.43,92.2,0,21,32
34.18,50.62,6.11,98.01,20,19,35
30.02,53.19,5.07,97.73,19,21,34
31.75,45.16,5.67,93.75,18,17,31
35.99,52.23,5.98,95.37,11,36,33
31.87,52.19,5.06,98.47,30,28,30
27.76,52.35,4.77,94.11,18,19,27
34.72,51.43,5.16,97.31,23,23,27
27.54,53.64,6.8,99.35,37,30,34
27.7,48.56,6.39,89.86,11,27,30
27.25,52.66,5.57,91.87,12,19,31
30.34,48.89,5.76,94.43,3,28,33
31.86,45.53,5.42,91.56,37,38,32
35.4,49.46,6.17,97.41,26,37,30
29.81,52.14,5.19,95.75,14,18,30
34.16,54.16,4.95,98.33,40,16,35
28.93,47.94,5.66,99.98,4,20,25
27.98,53.33,5.55,99.61,36,25,33
31.2,54.5,6.8,94.63,30,17,31
32.13,50.53,6.1,98.63,28,37,28
28.92,48.14,5.08,97.01,38,15,30
31.1,47.41,4.55,90.29,12,37,30
34.74,49.09,5.86,90.65,38,19,31
29.98,49.49,6.44,91.82,8,33,29
33.8,46.13,4.51,90.83,15,27,28
30.07,50.96,6.11,92.1,34,16,25
27.92,51.78,6.48,100.26,11,36,31
31.41,49.22,6.83,93.0,33,29,34
35.79,51.94,5.4,100.22,12,31,26
33.36,45.02,6.14,98.82,12,34,28
35.96,48.7,4.56,98.01,5,16,31
28.33,51.4,6.43,91.67,1,30,29
32.28,50.19,5.32,95.99,16,35,31
31.99,50.85,5.28,97.39,35,18,26
27.58,48.57,6.72,95.84,4,40,26
29.38,45.89,5.73,100.81,9,29,34
32.39,53.23,4.69,90.22,2,38,33
30.91,49.93,6.81,90.14,26,32,32
35.38,45.58,6.45,97.42,34,38,31
32.32,52.59,5.84,93.37,5,32,33
28.22,47.41,5.02,97.77,31,29,26
27.27,47.17,6.42,95.26,34,34,35
27.11,50.71,4.94,92.37,36,19,32
34.89,48.76,6.41,91.63,7,17,26
33.75,48.5,6.78,92.26,38,15,27
27.35,54.44,6.44,96.28,5,19,25
32.89,52.61,4.65,94.49,37,36,26
35.39,51.43,5.25,90.3,21,31,32
27.55,47.91,5.91,90.4,37,36,27
32.82,47.46,4.76,90.89,23,23,30
30.17,51.08,6.81,95.23,36,26,26
29.26,54.82,5.34,100.76,24,33,35
32.06,51.08,6.34,96.6,26,18,30
28.7,47.72,4.75,99.64,22,17,26
29.14,49.41,6.83,97.55,11,34,32
28.35,53.54,6.97,90.4,29,35,28
27.67,45.42,4.95,92.85,22,28,26
28.12,46.17,5.63,93.3,23,24,32
30.79,46.7,6.27,92.21,1,35,34
28.89,54.81,6.47,94.76,2,24,34
33.33,45.61,6.95,98.29,39,37,25
27.79,53.97,5.64,91.01,15,36,27
31.65,48.21,6.39,91.1,3,18,31
29.75,46.74,4.98,91.41,8,38,32
31.33,50.22,5.42,89.78,33,31,34
35.64,48.97,6.94,97.52,14,29,32
31.67,51.99,5.44,89.98,18,20,26
32.27,53.56,5.87,95.94,9,21,32
27.81,51.59,4.75,95.9,20,30,27
34.59,50.34,5.5,100.31,9,38,25
31.27,52.24,6.81,89.74,26,24,34
33.94,52.72,6.46,97.46,31,36,29
31.09,47.02,4.79,91.47,14,18,35
31.89,49.02,6.48,89.59,40,16,35
32.45,50.7,6.53,95.05,28,27,34
35.47,47.97,6.28,97.79,0,17,30
27.33,49.3,6.05,93.53,1,29,29
30.9,49.96,5.73,91.78,2,36,31
29.09,45.57,5.32,96.24,12,27,26
30.02,46.78,4.67,96.64,7,28,35
34.13,51.26,5.1,96.39,0,36,26
33.45,53.06,5.34,98.05,26,35,31
35.39,52.49,5.06,91.23,27,21,30
31.53,53.06,5.82,98.57,22,38,31
30.76,47.94,5.96,90.39,22,18,31
30.02,50.1,5.68,96.09,28,23,28
31.33,47.59,6.52,94.67,7,31,27
33.88,54.39,6.27,89.29,29,34,26
28.08,54.96,6.13,97.45,8,37,33
35.54,52.95,4.93,91.55,39,16,27
28.71,50.44,5.45,95.89,40,24,25
31.48,48.78,4.53,93.17,19,38,26
27.7,51.42,5.4,100.77,21,21,30
30.41,52.48,6.62,93.92,22,18,33
32.18,54.01,6.21,91.89,31,20,30
32.61,47.75,5.42,91.1,18,26,31
30.0,81.54,6.11,67.13,24,130,195
30.73,82.43,6.09,68.38,13,144,204
32.45,83.89,5.9,68.74,22,123,205
37.47,80.66,6.16,66.84,36,125,196
22.03,83.74,5.73,65.34,24,131,196
39.65,82.21,6.25,70.4,2,123,198
16.78,82.75,6.11,66.76,35,140,197
12.14,83.57,5.65,69.63,11,122,195
12.76,81.62,6.13,66.78,6,123,203
39.04,80.18,6.5,73.88,17,134,204
39.71,82.69,5.55,74.92,25,130,197
9.47,82.29,5.8,66.03,27,145,205
29.59,80.92,5.57,68.06,9,122,201
17.83,80.96,6.28,65.85,16,139,203
8.83,82.9,5.54,67.24,32,141,204
27.83,83.51,6.21,73.03,22,138,195
11.02,80.56,5.87,68.24,31,144,202
17.59,80.85,6.33,71.41,3,136,205
19.89,82.73,5.86,69.66,28,122,197
29.94,81.78,5.9,65.52,4,136,204
36.73,80.59,5.78,72.24,39,145,201
20.42,81.54,5.93,66.93,38,132,197
25.52,83.98,6.23,69.17,36,133,198
30.51,82.72,5.59,70.08,25,121,201
18.43,80.56,5.57,69.76,15,125,199
12.09,83.59,5.93,68.67,24,140,205
23.6,82.48,6.42,73.24,13,132,203
12.8,81.21,6.42,67.1,5,126,197
38.06,82.25,6.23,65.7,30,120,200
39.07,82.04,6.0,69.31,23,142,197
33.78,81.16,5.69,74.54,26,135,203
16.76,82.0,5.66,73.29,7,126,203
35.89,82.67,6.36,66.54,32,139,198
21.01,81.18,6.12,66.38,9,141,202
10.9,80.02,6.21,68.69,20,142,196
16.36,83.0,6.49,71.56,32,129,201
20.28,81.32,5.82,71.07,3,134,199
25.11,83.25,6.33,73.01,38,138,204
33.46,83.87,5.56,67.92,14,131,198
11.8,80.86,6.49,65.07,20,122,204
11.36,80.03,6.12,71.18,40,126,201
25.24,80.69,5.7,67.04,36,128,204
15.99,81.24,5.73,74.4,11,132,197
22.44,80.19,6.33,65.4,0,137,195
34.76,81.04,6.17,65.7,19,123,200
31.11,83.34,5.65,71.43,31,136,197
28.58,80.96,5.84,73.34,4,134,200
41.19,81.02,5.54,68.69,39,139,201
27.03,83.17,5.83,70.96,8,127,196
21.19,82.33,6.4,74.63,39,138,203
10.38,83.45,6.14,67.39,32,120,204
31.31,82.56,5.97,65.01,12,142,203
20.47,80.98,6.46,71.3,8,133,195
29.37,81.54,6.34,66.13,8,139,199
10.72,80.02,6.43,65.3,21,134,202
14.98,80.5,6.29,71.63,40,140,195
15.32,81.67,6.48,71.6,39,127,202
18.74,81.12,5.93,73.56,19,120,195
19.36,83.36,5.98,67.15,21,139,201
41.21,81.61,6.39,65.9,17,136,195
33.34,82.51,5.69,70.68,33,139,203
23.82,80.12,6.0,67.27,22,133,201
40.66,81.25,6.37,74.03,32,130,196
11.83,80.28,5.51,74.1,37,135,205
13.29,83.54,5.7,65.8,15,140,195
35.83,83.33,5.78,73.68,39,132,196
26.18,81.04,6.32,66.06,40,121,199
24.58,80.71,5.97,69.71,40,132,202
29.67,83.71,5.89,66.48,29,142,203
